Auction Date;M/D/Y Format;Price Sold in GBP;Year Artwork Created;GBP to USD;Artist
5/22/2012;1/1/1907;0;1907;0,00;Sir J Benjamin Stone 
5/22/2012;1/1/1875;2200;1875;3660,12;"J. Forbes Watson; John William Kaye "
5/22/2012;1/1/1976;1000;1976;1663,69;Bill Brandt 
5/22/2012;1/1/1957;1100;1957;1830,06;Richard Sadler 
5/22/2012;1/1/1980;0;1980;0,00;Peter Kernot 
5/22/2012;1/1/1955;2000;1955;3327,38;William Klein 
5/22/2012;1/1/1951;0;1951;0,00;Aaron Siskind 
5/22/2012;1/1/1979;0;1979;0,00;Nan Goldin 
5/22/2012;1/1/1915;0;1915;0,00;Edward Steichen 
5/22/2012;1/1/1860;1500;1860;2495,54;Charles Marville 
5/22/2012;1/1/1973;300;1973;499,11;Colin Jones 
5/22/2012;1/1/1948;0;1948;0,00;George Rodger 
5/22/2012;1/1/1946;1100;1946;1830,06;Édouard Boubat 
5/22/2012;1/1/1954;700;1954;1164,58;Thurston Hopkins 
5/22/2012;1/1/1957;0;1957;0,00;David Hurn 
5/22/2012;1/1/1952;0;1952;0,00;Seydou Keita 
5/22/2012;1/1/1983;0;1983;0,00;Terry O'Neill 
5/22/2012;1/1/1895;130;1895;216,28;London Stereoscopic and Photographic Company
5/22/2012;1/1/1969;0;1969;0,00;Guy Le Querrec 
5/22/2012;1/1/1973;300;1973;499,11;Colin Jones 
5/22/2012;1/1/1948;0;1948;0,00;Weegee 
5/22/2012;1/1/1860;800;1860;1330,95;Follower of Julia Margaret Cameron
5/22/2012;1/1/1978;950;1978;1580,51;John Blakemore 
5/22/2012;1/1/1989;2800;1989;4658,34;Elliott Erwitt 
5/22/2012;1/1/1964;500;1964;831,85;Roberto Salas 
5/22/2012;1/1/1940;300;1940;499,11;Louise Dahl-Wolfe 
5/22/2012;1/1/1965;1300;1965;2162,80;John Krish 
5/22/2012;1/1/1869;450;1869;748,66;John Dunmore, George Critcherson, 
5/22/2012;1/1/1997;420;1997;698,75;Colin Jones 
5/22/2012;1/1/1930;0;1930;0,00;John Havinden 
5/22/2012;1/1/1974;800;1974;1330,95;Martin Parr 
5/22/2012;1/1/1948;0;1948;0,00;Gyorgy Kepes 
5/22/2012;1/1/1948;0;1948;0,00;Dorothy Wilding 
5/22/2012;1/1/1962;0;1962;0,00;Bert Stern 
5/22/2012;1/1/1946;0;1946;0,00;Dorothy Wilding 
5/22/2012;1/1/1930;2400;1930;3992,86;Josef Sudek 
5/22/2012;1/1/2001;1800;2001;2994,64;Abelardo Morell 
5/22/2012;1/1/1970;0;1970;0,00;Paul Hill 
5/22/2012;1/1/1950;600;1950;998,21;Thurston Hopkins 
5/22/2012;1/1/1995;0;1995;0,00;Malcolm Pasley 
5/22/2012;1/1/1960;0;1960;0,00;Peter Keetman 
5/22/2012;1/1/1870;600;1870;998,21;Joseph Lawton 
5/22/2012;1/1/1956;0;1956;0,00;William Klein 
5/22/2012;1/1/2009;0;2009;0,00;André S Solidor 
5/22/2012;1/1/2001;0;2001;0,00;Daido Moriyama 
5/22/2012;1/1/1968;1600;1968;2661,91;Tony Ray-Jones 
5/22/2012;1/1/1955;0;1955;0,00;Yoshiyuki Iwase 
5/22/2012;1/1/1940;800;1940;1330,95;Gyorgy Kepes 
5/22/2012;1/1/1965;0;1965;0,00;David Hurn 
5/22/2012;1/1/1977;500;1977;831,85;John Blakemore 
5/22/2012;1/1/1996;0;1996;0,00;Bernard Paillard
5/22/2012;1/1/1910;600;1910;998,21;Rudolf Lehnert 
5/22/2012;1/1/1974;350;1974;582,29;John Blakemore 
5/22/2012;1/1/1960;0;1960;0,00;Grace Robertson 
5/22/2012;1/1/1956;0;1956;0,00;William Klein 
5/22/2012;1/1/1954;0;1954;0,00;Thurston Hopkins 
5/22/2012;1/1/1990;220;1990;366,01;Rodney Graham 
5/22/2012;1/1/1988;300;1988;499,11;Michael Kenna 
5/22/2012;1/1/1935;0;1935;0,00;Eva Besnyö 
5/22/2012;1/1/1949;0;1949;0,00;George Rodger 
5/22/2012;1/1/1967;4000;1967;6654,77;NASA
5/22/2012;1/1/1948;600;1948;998,21;Grace Robertson 
5/22/2012;1/1/1999;0;1999;0,00;Cristina Piza 
5/22/2012;1/1/1975;100;1975;166,37;George Hallett 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1876;0;1876;0,00;Charles Dodgson 
5/22/2012;1/1/1974;0;1974;0,00;Stephen Shore 
5/22/2012;1/1/1930;0;1930;0,00;Dr Paul Wolff 
5/22/2012;1/1/1957;3000;1957;4991,07;Bill Brandt 
5/22/2012;1/1/1999;0;1999;0,00;Cristina Piza 
5/22/2012;1/1/1952;850;1952;1414,14;Thurston Hopkins 
5/22/2012;1/1/1939;3600;1939;5989,29;Horst P Horst 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1955;600;1955;998,21;Jules Aarons 
5/22/2012;1/1/1967;400;1967;665,48;Osvaldo Salas 
5/22/2012;1/1/1971;0;1971;0,00;Cecil Beaton 
5/22/2012;1/1/1971;500;1971;831,85;John Blakemore 
5/22/2012;1/1/1977;600;1977;998,21;John Blakemore 
5/22/2012;1/1/1987;650;1987;1081,40;Eva Rubinstein 
5/22/2012;1/1/1887;1300;1887;2162,80;Unknown
5/22/2012;1/1/1948;6500;1948;10813,99;Irving Penn 
5/22/2012;1/1/1946;2000;1946;3327,38;Horst P Horst 
5/22/2012;1/1/1972;2000;1972;3327,38;Jeanloup Sieff 
5/22/2012;1/1/1935;0;1935;0,00;Eva Besnyö 
5/22/2012;1/1/1948;0;1948;0,00;George Rodger 
5/22/2012;1/1/2008;0;2008;0,00;Alberto Petrò 
5/22/2012;1/1/1912;0;1912;0,00;Adolph de Meyer 
5/22/2012;1/1/1973;0;1973;0,00;Colin Jones 
5/22/2012;1/1/1963;0;1963;0,00;Lewis Morley 
5/22/2012;1/1/1858;0;1858;0,00;Dr John Murray 
5/22/2012;1/1/1983;1500;1983;2495,54;Sebastiao Salgado 
5/22/2012;1/1/1955;200;1955;332,74;Jules Aarons 
5/22/2012;1/1/1951;0;1951;0,00;Grace Robertson 
5/22/2012;1/1/1964;700;1964;1164,58;Osvaldo Salas 
5/22/2012;1/1/1954;0;1954;0,00;Jean-Philippe Charbonnier 
5/22/2012;1/1/1963;0;1963;0,00;Jorge S. Lewinski 
5/22/2012;1/1/2006;1500;2006;2495,54;Rob Carter 
5/22/2012;1/1/1967;0;1967;0,00;Osvaldo Salas 
5/22/2012;1/1/1974;1300;1974;2162,80;David Hockney 
5/22/2012;1/1/1938;0;1938;0,00;Horst P Horst 
5/22/2012;1/1/1947;0;1947;0,00;Brassai 
5/22/2012;1/1/1976;400;1976;665,48;Richard Sadler 
5/22/2012;1/1/1930;0;1930;0,00;Dr Paul Wolff 
5/22/2012;1/1/1954;200;1954;332,74;Jules Aarons 
5/22/2012;1/1/1931;0;1931;0,00;Alexander Rodchenko 
5/22/2012;1/1/1968;1600;1968;2661,91;Larry Clark 
5/22/2012;1/1/1954;0;1954;0,00;Elliott Erwitt 
5/22/2012;1/1/1977;480;1977;798,57;John Blakemore 
5/22/2012;1/1/1984;8500;1984;14141,38;Steve McCurry 
5/22/2012;1/1/1950;1400;1950;2329,17;Edouard Boubat 
5/22/2012;1/1/1971;600;1971;998,21;Antanas Sutkus 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1959;0;1959;0,00;Willy Ronis 
5/22/2012;1/1/1985;300;1985;499,11;Paul Hill 
5/22/2012;1/1/1930;0;1930;0,00;Ergy Landau 
5/22/2012;1/1/1950;1400;1950;2329,17;Richard Sadler 
5/22/2012;1/1/1996;0;1996;0,00;Tomio Seike 
5/22/2012;1/1/1958;2000;1958;3327,38;Bruce Davidson 
5/22/2012;1/1/1954;700;1954;1164,58;Grace Robertson 
5/22/2012;1/1/1965;0;1965;0,00;Roberto Salas 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1956;1000;1956;1663,69;Kiichi Asano 
5/22/2012;1/1/1950;0;1950;0,00;Aaron Siskind 
